SESSIONID,CARPARKNUMBER,VEHICLETYPE,SESSIONSTART,SESSIONEND,TOTAL_CHARGE,DURATION,EFFECTIVE_CHARGE,LOT_NUMBER,LABEL_TYPE
0PL81-E-00001-20211005193914,PL81,C,5/10/2021 19:39,5/10/2021 20:02,0,23,0,146,1
0PL81-E-00001-20211005193957,PL81,C,5/10/2021 19:39,6/10/2021 8:29,0,770,0,259,1
0PL81-E-00001-20211005194110,PL81,C,5/10/2021 19:41,6/10/2021 6:28,0,647,0,58,1
0PL81-E-00001-20211005194133,PL81,C,5/10/2021 19:41,5/10/2021 20:43,0,62,0,62,1
0PL81-E-00001-20211005194204,PL81,C,5/10/2021 19:42,6/10/2021 7:02,0,680,0,160,1
0PL81-E-00001-20211005194212,PL81,C,5/10/2021 19:42,6/10/2021 10:56,0,914,0,91,1
0PL81-E-00001-20211005194316,PL81,C,5/10/2021 19:43,6/10/2021 5:37,0,594,0,169,1
0PL81-E-00001-20211005194451,PL81,C,5/10/2021 19:44,5/10/2021 22:44,0,180,0,100,1
0PL81-E-00001-20211005194502,PL81,C,5/10/2021 19:45,5/10/2021 21:21,0,96,0,19,1
0PL81-E-00001-20211005194733,PL81,C,5/10/2021 19:47,6/10/2021 5:17,0,570,0,76,1
0PL81-L-00048-20211005194846,PL81,C,5/10/2021 19:48,5/10/2021 19:51,0,3,0,48,1
0PL81-L-00048-20211005195140,PL81,C,5/10/2021 19:51,5/10/2021 22:47,0,176,0,48,1
0PL81-E-00001-20211005195349,PL81,C,5/10/2021 19:53,6/10/2021 9:12,0,799,0,57,1
0PL81-E-00001-20211005195355,PL81,C,5/10/2021 19:53,5/10/2021 20:58,0,65,0,26,1
0PL81-L-00176-20211005195840,PL81,C,5/10/2021 19:58,6/10/2021 8:18,0,740,0,176,1
0PL81-E-00001-20211005195929,PL81,C,5/10/2021 19:59,6/10/2021 12:46,0,1007,0,95,1
0PL81-L-00145-20211005200230,PL81,C,5/10/2021 20:02,5/10/2021 20:51,0,49,0,145,1
0PL81-L-00146-20211005200230,PL81,C,5/10/2021 20:02,6/10/2021 8:19,0,737,0,146,1
0PL81-E-00001-20211005200237,PL81,C,5/10/2021 20:02,6/10/2021 8:39,0,757,0,252,1
0PL81-L-00044-20211005200240,PL81,C,5/10/2021 20:02,6/10/2021 7:05,0,663,0,44,1
